"","ag.artist_name","ag.artist_id","ag.album_type","ag.album_release_date","ag.album_release_year","ag.album_release_date_precision","ag.danceability","ag.energy","ag.energy.1","ag.key","ag.loudness","ag.mode","ag.speechiness","ag.acousticness","ag.instrumentalness","ag.liveness","ag.liveness.1","ag.valence","ag.tempo","ag.track_id","ag.duration_ms","ag.explicit","ag.is_local","ag.track_name","ag.track_number","ag.type","ag.album_name","ag.key_name","ag.mode_name","ag.key_mode"
"1","Ariana Grande","66CXWjxzNUsdJxJ2JdwvnR","album","2021-02-19",2021,"day",0.499,0.462,0.462,0,-5.308,1,0.0312,0.801,0,0.0946,0.0946,0.599,127.698,"12sliObzVzbLbAlDb8eChf",157710,TRUE,FALSE,"shut up",1,"track","Positions (Deluxe)","C","major","C major"
"2","Ariana Grande","66CXWjxzNUsdJxJ2JdwvnR","album","2021-02-19",2021,"day",0.83,0.585,0.585,0,-6.476,1,0.094,0.237,0,0.248,0.248,0.485,109.978,"1hG4V53eR16jg7jVTNLOiX",173710,TRUE,FALSE,"34+35",2,"track","Positions (Deluxe)","C","major","C major"
"3","Ariana Grande","66CXWjxzNUsdJxJ2JdwvnR","album","2021-02-19",2021,"day",0.789,0.742,0.742,10,-5.664,0,0.0652,0.0681,0,0.166,0.166,0.661,116.965,"5VipERQ1ofCowecoFg2MVU",167989,TRUE,FALSE,"motive (with Doja Cat)",3,"track","Positions (Deluxe)","A#","minor","A# minor"
"4","Ariana Grande","66CXWjxzNUsdJxJ2JdwvnR","album","2021-02-19",2021,"day",0.719,0.607,0.607,8,-5.156,1,0.165,0.08,0,0.125,0.125,0.464,128.006,"1N9hFgcgWYbGINUKjhvcK6",149900,TRUE,FALSE,"just like magic",4,"track","Positions (Deluxe)","G#","major","G# major"
"5","Ariana Grande","66CXWjxzNUsdJxJ2JdwvnR","album","2021-02-19",2021,"day",0.411,0.522,0.522,0,-7.295,1,0.0981,0.519,0,0.398,0.398,0.382,88.332,"1qKdid2S9fZdSrzLaCcjcF",239949,FALSE,FALSE,"off the table (with The Weeknd)",5,"track","Positions (Deluxe)","C","major","C major"
"6","Ariana Grande","66CXWjxzNUsdJxJ2JdwvnR","album","2021-02-19",2021,"day",0.739,0.516,0.516,0,-7.154,1,0.0539,0.67,0,0.151,0.151,0.434,120.109,"4rJWTThj9EWR6UqD1eVyge",183874,TRUE,FALSE,"six thirty",6,"track","Positions (Deluxe)","C","major","C major"
"7","Ariana Grande","66CXWjxzNUsdJxJ2JdwvnR","album","2021-02-19",2021,"day",0.552,0.599,0.599,1,-5.75,0,0.0404,0.0703,0,0.0986,0.0986,0.0916,161.884,"53Z8fbdVNus9Kiu7tWIBEC",208457,FALSE,FALSE,"safety net (feat. Ty Dolla $ign)",7,"track","Positions (Deluxe)","C#","minor","C# minor"
"8","Ariana Grande","66CXWjxzNUsdJxJ2JdwvnR","album","2021-02-19",2021,"day",0.686,0.526,0.526,0,-6.842,1,0.0374,0.0815,7.75e-06,0.144,0.144,0.372,92.013,"5Ds3yH73nMHgkmJxcxqPrr",158436,FALSE,FALSE,"my hair",8,"track","Positions (Deluxe)","C","major","C major"
"9","Ariana Grande","66CXWjxzNUsdJxJ2JdwvnR","album","2021-02-19",2021,"day",0.772,0.506,0.506,6,-6.558,0,0.139,0.0814,1.1e-05,0.182,0.182,0.456,127.894,"7wcl0YJBQ0ygTUUaXLRM1g",200732,TRUE,FALSE,"nasty",9,"track","Positions (Deluxe)","F#","minor","F# minor"
"10","Ariana Grande","66CXWjxzNUsdJxJ2JdwvnR","album","2021-02-19",2021,"day",0.688,0.455,0.455,11,-8.632,0,0.199,0.186,0,0.0794,0.0794,0.557,87.865,"7cFYqReKEigTxTm0bNE6YA",132278,FALSE,FALSE,"west side",10,"track","Positions (Deluxe)","B","minor","B minor"
"11","Ariana Grande","66CXWjxzNUsdJxJ2JdwvnR","album","2021-02-19",2021,"day",0.688,0.573,0.573,10,-5.03,0,0.208,0.0686,0,0.0749,0.0749,0.553,110.034,"4iIrJ94pkIEnGZWv1MhIRC",179860,TRUE,FALSE,"love language",11,"track","Positions (Deluxe)","A#","minor","A# minor"
"12","Ariana Grande","66CXWjxzNUsdJxJ2JdwvnR","album","2021-02-19",2021,"day",0.737,0.802,0.802,0,-4.771,1,0.0878,0.468,0,0.0931,0.0931,0.682,144.015,"3DFnLXa69NVlOjbhTbXXNn",172324,TRUE,FALSE,"positions",12,"track","Positions (Deluxe)","C","major","C major"
"13","Ariana Grande","66CXWjxzNUsdJxJ2JdwvnR","album","2021-02-19",2021,"day",0.624,0.672,0.672,0,-5.334,1,0.106,0.0967,0,0.155,0.155,0.26,159.852,"65OEcDb4M3mAvEpSdXi6Lv",146958,TRUE,FALSE,"obvious",13,"track","Positions (Deluxe)","C","major","C major"
"14","Ariana Grande","66CXWjxzNUsdJxJ2JdwvnR","album","2021-02-19",2021,"day",0.487,0.534,0.534,0,-5.664,0,0.0555,0.36,0,0.1,0.1,0.173,131.798,"3RP1eXaK8f4rwqY9fRKVRF",201882,FALSE,FALSE,"pov",14,"track","Positions (Deluxe)","C","minor","C minor"
"15","Ariana Grande","66CXWjxzNUsdJxJ2JdwvnR","album","2021-02-19",2021,"day",0.639,0.544,0.544,5,-9.5,0,0.0383,0.175,2.44e-05,0.14,0.14,0.179,118.158,"3Os1431WclqyKxWqMzRESE",76742,FALSE,FALSE,"someone like u - interlude",15,"track","Positions (Deluxe)","F","minor","F minor"
"16","Ariana Grande","66CXWjxzNUsdJxJ2JdwvnR","album","2021-02-19",2021,"day",0.698,0.708,0.708,9,-4.943,0,0.0454,0.0251,0,0.124,0.124,0.322,115.036,"3eZYOQO4UzKrUDYDghtnFw",122174,FALSE,FALSE,"test drive",16,"track","Positions (Deluxe)","A","minor","A minor"
"17","Ariana Grande","66CXWjxzNUsdJxJ2JdwvnR","album","2021-02-19",2021,"day",0.659,0.662,0.662,5,-5.768,1,0.434,0.211,0,0.228,0.228,0.704,109.957,"2sQH02O2HBCPJCztBrCWNa",182437,TRUE,FALSE,"34+35 Remix (feat. Doja Cat, Megan Thee Stallion) - Remix",17,"track","Positions (Deluxe)","F","major","F major"
"18","Ariana Grande","66CXWjxzNUsdJxJ2JdwvnR","album","2021-02-19",2021,"day",0.726,0.667,0.667,5,-5.956,0,0.0617,0.37,0,0.118,0.118,0.434,100.053,"6KIKaWKE9wV6mLjho3w61y",124281,TRUE,FALSE,"worst behavior",18,"track","Positions (Deluxe)","F","minor","F minor"
"19","Ariana Grande","66CXWjxzNUsdJxJ2JdwvnR","album","2021-02-19",2021,"day",0.734,0.475,0.475,9,-7.77,1,0.0403,0.317,1.41e-06,0.113,0.113,0.217,134.119,"63WsFFnQ8CL941iZBELYsX",129080,FALSE,FALSE,"main thing",19,"track","Positions (Deluxe)","A","major","A major"
"20","Ariana Grande","66CXWjxzNUsdJxJ2JdwvnR","album","2021-02-19",2021,"day",0.54,0.434,0.434,0,-5.229,1,0.0308,0.765,0,0.083,0.083,0.62,127.738,"0QQSR0relCdVhTMpfhWHNZ",157710,FALSE,FALSE,"shut up",1,"track","Positions (Deluxe)","C","major","C major"
"21","Ariana Grande","66CXWjxzNUsdJxJ2JdwvnR","album","2021-02-19",2021,"day",0.822,0.577,0.577,5,-6.449,1,0.0693,0.264,0,0.265,0.265,0.496,110.005,"2Yn2h3453izHQVYA7Y6yej",173710,FALSE,FALSE,"34+35",2,"track","Positions (Deluxe)","F","major","F major"
