,Total offenses,Known offender's race,Known offender's race,Known offender's race,Known offender's race,Known offender's race,Known offender's race,Unknown Race,Known offender's ethnicity1,Known offender's ethnicity2,Known offender's ethnicity3,Known offender's ethnicity4,Unknown Offender
Offense type,,White,Black or African American,American Indian or Alaska Native,Asian,Native Hawaiian or Other Pacific Islander,Multiple,Unknown Race,"Hispanic
or
Latino","Not
Hispanic
or
Latino","Group of
multiple
ethnicities","Unknown
ethnicity",
Total,11129,4958,1390,73,75,29,223,947,608,2625,69,2915,3434
Crimes against persons:,7750,4194,1148,64,60,24,187,583,509,2150,52,2342,1490
Murder and nonnegligent manslaughter,22,8,3,0,0,0,1,5,3,6,0,7,5
Rape2,21,9,5,0,0,1,1,3,5,6,0,8,2
Aggravated assault,1390,746,311,12,15,3,48,119,162,530,19,472,136
Simple assault,2166,1136,488,37,27,6,92,155,193,742,26,791,225
Intimidation,4119,2277,335,14,17,13,45,301,142,856,7,1051,1117
Other3,32,18,6,1,1,1,0,0,4,10,0,13,5
Crimes against property:,3147,628,182,7,12,5,30,360,94,362,15,482,1923
Robbery,140,38,47,2,0,2,5,25,23,37,4,41,21
Burglary,132,41,9,1,0,0,4,14,0,27,2,32,63
Larceny-theft,362,99,32,0,0,0,2,11,7,60,1,67,218
Motor vehicle theft,34,11,5,0,0,0,0,3,0,8,0,11,15
Arson,67,23,3,0,0,0,1,4,6,7,0,17,36
Destruction/damage/vandalism,2333,390,78,4,12,3,18,302,54,208,8,298,1526
Other3,79,26,8,0,0,0,0,1,4,15,0,16,44
Crimes against society3,232,136,60,2,3,0,6,4,5,113,2,91,21
