"","kc.artist_name","kc.artist_id","kc.album_type","kc.album_release_date","kc.album_release_year","kc.album_release_date_precision","kc.danceability","kc.energy","kc.energy.1","kc.key","kc.loudness","kc.mode","kc.speechiness","kc.acousticness","kc.instrumentalness","kc.liveness","kc.liveness.1","kc.valence","kc.tempo","kc.track_id","kc.duration_ms","kc.explicit","kc.is_local","kc.track_name","kc.track_number","kc.type","kc.album_name","kc.key_name","kc.mode_name","kc.key_mode"
"1","Kelly Clarkson","3BmGtnKgCSGYIUhmivXKWX","album","2021-10-15",2021,"day",0.353,0.606,0.606,2,-4.621,1,0.0345,0.0328,0,0.0794,0.0794,0.253,116.911,"4MEOr5vC6hEt5yWAmxEimt",225747,FALSE,FALSE,"Merry Christmas Baby",1,"track","When Christmas Comes Around...","D","major","D major"
"2","Kelly Clarkson","3BmGtnKgCSGYIUhmivXKWX","album","2021-10-15",2021,"day",0.677,0.788,0.788,7,-4.185,1,0.0323,0.0919,0,0.383,0.383,0.371,114.86,"0TN4LrBEiaXc7BWfC77Nt3",114699,FALSE,FALSE,"It's Beginning To Look A Lot Like Christmas",2,"track","When Christmas Comes Around...","G","major","G major"
"3","Kelly Clarkson","3BmGtnKgCSGYIUhmivXKWX","album","2021-10-15",2021,"day",0.58,0.789,0.789,1,-4.918,0,0.0457,0.0429,0,0.146,0.146,0.572,139.901,"4zHDuDQx8dcWVmVVtyIzRO",231549,FALSE,FALSE,"Christmas Isn't Canceled (Just You)",3,"track","When Christmas Comes Around...","C#","minor","C# minor"
"4","Kelly Clarkson","3BmGtnKgCSGYIUhmivXKWX","album","2021-10-15",2021,"day",0.481,0.359,0.359,6,-7.132,1,0.0272,0.476,0,0.0949,0.0949,0.27,75.157,"13WZj8waopm2TM2NRtt5UF",250388,FALSE,FALSE,"Merry Christmas (To The One I Used To Know)",4,"track","When Christmas Comes Around...","F#","major","F# major"
"5","Kelly Clarkson","3BmGtnKgCSGYIUhmivXKWX","album","2021-10-15",2021,"day",0.609,0.829,0.829,6,-4.785,1,0.0414,0.016,0,0.388,0.388,0.751,143.139,"2O3v6UgFhJT1achAJ0aNSA",112673,FALSE,FALSE,"Rockin' Around The Christmas Tree",5,"track","When Christmas Comes Around...","F#","major","F# major"
"6","Kelly Clarkson","3BmGtnKgCSGYIUhmivXKWX","album","2021-10-15",2021,"day",0.638,0.83,0.83,11,-3.936,0,0.0671,0.0524,0,0.302,0.302,0.61,145.967,"4nEJzW7MkSF8ojY7WJnoPt",198279,FALSE,FALSE,"Glow",6,"track","When Christmas Comes Around...","B","minor","B minor"
"7","Kelly Clarkson","3BmGtnKgCSGYIUhmivXKWX","album","2021-10-15",2021,"day",0.376,0.569,0.569,0,-4.634,1,0.0467,0.00745,0,0.0824,0.0824,0.215,90.799,"4sZBHxlO97cnA7SUbNjvNy",170814,FALSE,FALSE,"Santa Baby",7,"track","When Christmas Comes Around...","C","major","C major"
"8","Kelly Clarkson","3BmGtnKgCSGYIUhmivXKWX","album","2021-10-15",2021,"day",0.495,0.896,0.896,11,-2.381,1,0.0331,0.005,0,0.353,0.353,0.462,146.04,"2O3MQ6H3gjrIWDcpeTrikT",242644,FALSE,FALSE,"Santa, Can’t You Hear Me",8,"track","When Christmas Comes Around...","B","major","B major"
"9","Kelly Clarkson","3BmGtnKgCSGYIUhmivXKWX","album","2021-10-15",2021,"day",0.508,0.476,0.476,5,-5.576,1,0.0277,0.431,0,0.112,0.112,0.403,96.248,"5gDlJZ5cep6GuhfOVolYDN",189578,FALSE,FALSE,"Last Christmas",9,"track","When Christmas Comes Around...","F","major","F major"
"10","Kelly Clarkson","3BmGtnKgCSGYIUhmivXKWX","album","2021-10-15",2021,"day",0.62,0.836,0.836,10,-4.16,1,0.0452,0.0238,0,0.0973,0.0973,0.752,139.927,"0tTwVivY5U4GxlnTT5vxNb",116677,FALSE,FALSE,"Jingle Bell Rock",10,"track","When Christmas Comes Around...","A#","major","A# major"
